,stature,weightkg,chestcircumference,waistcircumference
0,1560,657,922,850
1,1665,534,839,708
2,1711,663,874,727
3,1660,782,1008,923
4,1572,886,1089,1163
5,1707,837,1031,968
6,1644,732,988,964
7,1671,760,968,914
8,1521,545,831,755
9,1590,684,1010,944
10,1707,990,1065,935
11,1668,742,1034,942
12,1654,781,1063,995
13,1666,718,937,848
14,1599,709,989,929
15,1673,672,940,835
16,1647,620,835,772
17,1678,595,897,805
18,1679,741,979,868
19,1615,605,853,792
20,1517,800,1090,1137
21,1674,747,941,881
22,1623,491,857,702
23,1668,703,973,954
24,1644,715,975,796
25,1579,708,1026,1000
26,1446,488,832,742
27,1620,691,921,912
28,1684,730,1032,913
29,1619,610,904,821
30,1592,658,951,930
31,1655,709,950,901
32,1723,728,965,935
33,1677,846,1115,1077
34,1654,945,1170,1112
35,1634,627,895,812
36,1683,578,944,869
37,1552,524,833,712
38,1617,732,1025,1057
39,1588,791,982,964
40,1641,894,1060,1134
41,1685,689,991,869
42,1656,758,994,942
43,1603,731,1071,1019
44,1608,748,945,865
45,1664,806,1094,975
46,1619,714,932,814
47,1620,712,1013,947
48,1720,657,910,794
49,1582,477,793,679
50,1720,696,954,890
51,1720,1196,1161,1334
52,1701,887,1135,1076
53,1627,754,1095,1007
54,1536,678,1014,897
55,1546,607,946,832
56,1654,572,814,766
57,1605,689,940,878
58,1630,712,988,943
59,1612,604,904,825
60,1757,697,876,812
61,1670,854,1090,1062
62,1632,617,943,914
63,1635,790,1132,987
64,1682,672,977,868
65,1661,695,977,839
66,1596,669,1006,814
67,1596,574,936,804
68,1665,815,1065,925
69,1617,618,890,805
70,1555,645,900,811
71,1578,557,862,757
72,1581,614,896,839
73,1698,668,943,821
74,1554,730,1092,1001
75,1756,737,920,860
76,1566,693,1071,922
77,1651,757,1001,1012
78,1585,740,1126,981
79,1657,682,982,870
80,1719,867,1069,931
81,1822,882,1061,895
82,1649,786,1031,925
83,1687,622,924,751
84,1698,782,999,1019
85,1530,608,865,784
86,1581,674,998,917
87,1609,686,930,865
88,1644,670,934,847
89,1548,635,856,785
90,1606,773,979,1004
91,1642,555,852,759
92,1622,727,1014,955
93,1669,593,841,694
94,1745,998,1057,1068
95,1495,581,986,948
96,1493,642,951,912
97,1641,758,1068,989
98,1607,683,945,887
99,1560,471,826,698
100,1625,665,978,822
101,1670,685,978,885
102,1616,579,870,764
103,1582,647,1080,943
104,1730,591,921,809
105,1501,450,846,739
106,1515,572,959,826
107,1576,721,1022,962
108,1628,676,878,849
109,1586,711,1029,951
110,1737,791,936,889
111,1576,536,834,790
112,1626,639,931,811
113,1604,628,981,831
114,1673,788,1037,958
115,1642,598,981,761
116,1538,752,1052,1070
117,1574,686,1028,923
118,1637,668,946,949
119,1620,613,930,858
120,1733,742,937,859
121,1526,522,810,721
122,1732,767,991,908
123,1624,661,985,880
124,1507,505,844,759
125,1560,637,965,919
126,1640,666,985,908
127,1675,610,862,731
128,1526,581,863,820
129,1623,609,870,821
130,1584,575,815,740
131,1671,797,1057,1024
132,1552,745,1137,932
133,1633,614,874,827
134,1530,677,1004,896
135,1606,508,844,738
136,1617,633,950,832
137,1645,711,1013,851
138,1681,727,960,859
139,1655,679,992,906
140,1626,833,1069,1028
141,1635,622,838,786
142,1572,616,962,853
143,1608,573,899,745
144,1662,507,828,737
145,1582,611,940,802
146,1701,866,1156,1045
147,1602,523,886,763
148,1549,676,991,955
149,1561,549,899,719
150,1677,571,889,746
151,1594,644,907,874
152,1628,649,940,772
153,1549,592,949,802
154,1559,563,866,719
155,1619,580,907,862
156,1690,810,983,1044
157,1698,649,895,817
158,1705,654,892,817
159,1625,570,875,816
160,1666,805,1012,939
161,1559,671,1026,863
162,1595,673,977,915
163,1634,550,812,764
164,1643,708,913,899
165,1667,538,943,782
166,1661,771,1032,897
167,1560,602,878,817
168,1610,719,971,900
169,1610,617,906,830
170,1682,761,1024,947
171,1604,739,1028,958
172,1540,560,881,767
173,1638,647,919,777
174,1656,724,918,896
175,1597,708,1118,968
176,1749,953,1130,997
177,1661,748,1002,879
178,1526,700,1039,1000
179,1583,655,934,931
180,1533,499,844,748
181,1575,553,821,734
182,1776,924,1072,1021
