,stature,weightkg,chestcircumference,waistcircumference
0,1776,815,1074,933
1,1702,726,1021,870
2,1735,929,1120,964
3,1655,794,1114,857
4,1914,946,1048,868
5,1720,802,1066,950
6,1810,1162,1208,1073
7,1850,954,1087,1010
8,1777,995,1181,1065
9,1811,702,964,824
10,1780,882,1117,994
11,1733,701,961,866
12,1814,1037,1151,986
13,1861,1116,1231,1045
14,1709,896,1060,1007
15,1740,924,1092,1033
16,1694,779,1085,908
17,1766,969,1118,1028
18,1748,760,999,874
19,1794,908,1127,999
20,1780,714,1000,837
21,1680,746,977,880
22,1653,792,1079,978
23,1959,915,1011,827
24,1755,965,1098,1030
25,1630,675,957,885
26,1825,1073,1158,1130
27,1795,793,964,912
28,1745,782,971,864
29,1818,882,1057,965
30,1881,715,957,777
31,1760,947,1108,1063
32,1675,665,947,870
33,1852,879,1043,966
34,1785,675,965,806
35,1791,884,1174,1096
36,1685,695,951,895
37,1850,1218,1182,1214
38,1737,719,981,790
39,1743,881,1086,1002
40,1744,575,865,748
41,1679,876,1205,1043
42,1836,850,1013,864
43,1730,865,1152,969
44,1762,958,1096,1095
45,1669,667,957,770
46,1740,706,985,840
47,1709,847,1063,1028
48,1879,1013,1137,1021
49,1674,856,1106,1061
50,1779,1095,1166,1139
51,1844,834,1081,922
52,1637,727,1006,995
53,1754,986,1153,1047
54,1704,773,1037,885
55,1840,1400,1469,1379
56,1783,674,901,750
57,1748,884,1071,970
58,1703,988,1263,1068
59,1852,952,1146,1012
60,1609,566,858,754
61,1709,717,1044,926
62,1835,717,904,827
63,1679,802,1033,940
64,1742,988,1160,1133
65,1698,662,971,843
66,1671,807,1050,1021
67,1850,1053,1213,1061
68,1754,683,944,786
69,1619,749,989,855
70,1772,738,975,830
71,1705,604,939,743
72,1619,774,1091,967
73,1726,768,983,922
74,1840,1022,1129,1120
75,1743,963,1205,1060
76,1674,923,1123,1030
77,1750,988,1129,974
78,1819,887,1048,844
79,1799,987,1063,969
80,1750,852,1098,1010
81,1723,748,972,892
82,1809,920,1127,1032
83,1791,744,963,851
84,1723,823,1098,979
85,1578,627,953,857
86,1718,778,1024,979
87,1799,882,1043,984
88,1740,590,902,721
89,1702,730,1008,885
90,1737,864,1027,961
91,1730,866,1044,996
92,1785,737,917,838
93,1817,654,917,752
94,1843,696,924,775
95,1791,775,994,809
96,1657,727,1001,862
97,1701,797,1069,1027
98,1786,744,995,797
99,1755,968,1104,1082
100,1791,866,1045,942
101,1759,742,1015,871
102,1790,920,1109,912
103,1782,814,991,873
104,1839,646,844,785
105,1880,954,1176,1023
106,1738,853,1085,924
107,1734,900,1085,1001
108,1819,835,1021,901
109,1683,851,1096,958
110,1815,897,1063,972
111,1815,872,1030,939
112,1673,822,1106,1003
113,1831,1112,1163,1139
114,1795,987,1089,1162
115,1845,1105,1149,1111
116,1687,782,1041,900
117,1756,869,1056,998
118,1846,1413,1358,1330
119,1657,789,1025,897
120,1632,690,1000,911
121,1735,792,1026,861
122,1726,699,989,920
123,1877,1212,1251,1192
124,1887,878,1030,1012
125,1765,706,970,845
126,1793,822,1035,843
127,1849,992,1076,910
128,1811,760,1038,879
129,1739,988,1113,1031
130,1668,759,1011,929
131,1788,898,1024,994
132,1746,782,997,815
133,1750,831,1057,983
134,1810,996,1082,1004
135,1710,742,1002,825
136,1847,968,1132,1077
137,1811,916,1123,952
138,1780,1080,1175,1047
139,1740,788,1021,851
140,1797,949,1115,920
141,1755,906,1112,934
142,1842,1069,1165,1114
143,1656,874,1056,967
144,1776,879,1048,1007
145,1859,1154,1137,1109
146,1685,790,1041,827
147,1775,887,1027,947
148,1825,866,1021,881
149,1931,806,1001,833
150,1789,966,1126,963
151,1819,1099,1225,1100
152,1782,771,1070,852
153,1721,951,1102,941
154,1910,1118,1194,1026
155,1804,895,1097,978
156,1782,1060,1208,1150
157,1777,951,1116,935
158,1665,721,995,923
159,1803,872,1092,973
160,1879,978,1079,908
161,1733,974,1179,1111
162,1835,958,1084,1031
163,1792,1123,1150,1164
164,1721,900,1098,1006
165,1711,948,1142,1018
166,1809,950,1071,992
167,1664,739,1021,908
168,1807,1036,1241,1053
169,1705,777,1027,912
170,1955,1080,1167,1049
171,1730,840,1082,917
172,1774,964,1139,1066
173,1724,707,947,848
174,1705,705,948,759
175,1838,851,1058,959
176,1706,865,1102,970
177,1809,972,1179,1068
178,1773,822,1028,972
179,1734,842,1048,993
180,1748,723,969,898
181,1651,896,1125,964
182,1724,755,1049,881
183,1860,732,957,821
184,1715,701,913,801
185,1757,783,995,845
186,1916,1164,1237,1134
187,1847,799,1018,877
188,1855,908,1059,951
189,1718,677,907,867
190,1641,858,1063,1029
191,1833,852,1017,879
192,1784,1033,1130,1015
193,1770,1034,1156,1034
194,1702,725,978,844
195,1800,711,963,797
196,1715,678,965,892
197,1842,782,956,865
198,1710,909,1080,1031
199,1753,840,1078,912
200,1935,1086,1158,1086
201,1738,758,1013,914
202,1770,833,1037,923
203,1720,870,1039,918
204,1673,728,985,831
205,1715,1109,1285,1182
206,1822,945,1082,1054
207,1913,1141,1157,1118
208,1756,907,1049,963
209,1735,846,1063,877
210,1726,818,1061,912
211,1716,869,1120,973
212,1717,682,913,818
213,1718,680,941,783
214,1747,947,1151,1015
215,1567,474,810,694
216,1894,1158,1163,1121
217,1738,729,972,870
218,1862,1078,1091,1015
219,1654,540,846,738
220,1637,854,1092,1032
221,1738,871,1071,979
222,1813,1071,1172,1017
223,1738,791,1035,883
224,1815,1096,1203,1068
225,1736,1150,1212,1179
226,1689,866,1047,993
227,1740,756,977,880
228,1782,834,1014,977
229,1784,812,1041,925
230,1647,845,1082,1010
231,1740,941,1166,1004
232,1664,644,967,744
233,1805,1124,1171,1045
234,1745,907,1078,936
235,1605,718,963,755
236,1830,971,1101,997
237,1810,813,1053,913
238,1731,755,1027,921
239,1845,797,972,899
240,1775,648,915,734
241,1795,1079,1142,1124
242,1664,874,1081,976
243,1752,982,1108,1084
244,1814,893,1069,1026
245,1836,1087,1140,1078
246,1628,775,1018,972
247,1640,801,1096,903
248,1728,874,1127,928
249,1606,568,907,779
250,1861,1174,1241,1149
251,1761,863,1092,992
252,1754,970,1178,989
253,1741,779,1031,933
254,1657,556,872,744
255,1660,533,884,714
256,1678,933,1121,1147
257,1735,866,1063,976
258,1750,1096,1242,1077
259,1701,676,949,835
260,1742,718,953,797
261,1818,916,1106,969
262,1785,871,1094,918
263,1666,701,954,776
264,1781,1115,1242,1124
265,1802,1084,1166,1146
266,1669,637,904,797
267,1837,964,1071,1032
268,1881,1054,1182,1005
269,1782,887,1052,921
270,1900,1145,1162,1132
271,1755,890,1069,988
272,1730,688,957,797
273,1624,710,1020,897
274,1755,1021,1198,1145
275,1703,784,1079,1003
276,1762,1105,1172,1175
277,1720,819,1008,987
278,1711,871,1168,1043
279,1927,869,1027,842
280,1784,775,1068,915
281,1835,1098,1139,1076
282,1823,965,1076,968
283,1640,674,1045,822
284,1704,1026,1231,1108
285,1730,601,913,719
286,1656,676,960,869
287,1668,867,1043,931
288,1635,826,1089,939
289,1861,862,1019,884
290,1667,821,1097,912
291,1760,675,963,812
292,1752,860,1074,957
293,1886,954,1069,1008
294,1729,970,1168,1121
295,1790,895,1087,946
296,1745,1016,1173,1029
297,1677,758,1002,913
298,1725,715,1022,828
299,1748,884,1076,972
300,1610,459,820,694
301,1705,756,1030,872
302,1833,995,1131,1010
303,1820,1138,1183,1141
304,1776,840,999,908
305,1791,1114,1115,1091
306,1970,902,1072,948
307,1814,924,1063,944
308,1782,860,1099,1012
309,1717,842,1043,893
310,1860,939,1113,992
311,1763,921,1121,939
312,1624,724,1015,912
313,1723,886,1011,942
314,1674,753,1058,848
315,1744,857,1034,877
316,1748,980,1138,1086
317,1805,744,937,902
318,1775,680,953,826
319,1730,677,976,815
320,1740,735,1008,919
321,1752,649,893,766
322,1673,766,1024,978
323,1850,860,1029,892
324,1802,809,1066,904
325,1727,801,1011,952
326,1717,773,988,911
327,1672,880,1068,903
328,1850,905,1065,904
329,1958,866,962,908
330,1708,845,1094,958
331,1923,1203,1228,1104
332,1684,769,979,891
333,1762,995,1094,1106
334,1869,1054,1201,1120
335,1768,872,1054,995
336,1668,750,1080,922
337,1658,865,1123,1060
338,1823,962,1106,1045
339,1856,727,937,823
340,1792,785,962,884
341,1709,752,992,865
342,1775,744,998,817
343,1712,818,1056,952
344,1769,873,1131,958
345,1651,697,969,747
346,1770,824,1000,884
347,1928,999,1145,953
348,1751,867,1118,929
349,1597,725,1020,913
350,1820,728,953,852
351,1821,715,946,803
352,1813,1274,1324,1251
353,1826,961,1088,977
354,1675,1018,1200,1149
355,1722,869,1124,976
356,1718,840,1067,913
357,1726,834,1053,958
358,1767,733,999,917
359,1701,735,987,930
360,1744,766,998,896
361,1680,858,1027,847
362,1581,560,915,776
363,1731,754,1043,917
364,1825,941,1105,996
365,1635,920,1209,1046
366,1736,905,1098,989
367,1692,1021,1156,1105
368,1665,650,933,785
369,1856,977,1109,955
370,1874,1130,1202,1043
371,1672,894,1121,978
372,1807,763,990,803
373,1892,1241,1256,1157
374,1795,876,1042,900
375,1798,689,925,757
376,1721,736,929,810
377,1687,759,1026,809
378,1745,702,996,788
379,1836,1018,1146,1067
380,1751,887,1071,999
381,1856,1266,1219,1196
382,1702,842,1099,952
383,1717,699,998,799
384,1759,713,957,789
385,1789,1099,1202,1095
386,1838,1042,1164,1029
387,1639,633,922,772
388,1674,921,1096,1017
389,1745,955,1137,1023
390,1662,709,994,817
391,1674,773,1016,877
392,1688,781,1005,926
393,1744,1017,1150,1149
394,1773,1028,1124,1030
395,1835,910,1093,870
396,1736,787,1018,884
397,1668,781,1020,955
398,1791,931,1138,1042
399,1816,793,1012,924
400,1781,812,1023,944
401,1759,621,911,759
402,1673,758,1037,897
403,1734,745,1006,852
404,1640,819,1092,1001
405,1663,714,972,897
406,1646,865,1095,951
407,1810,1091,1233,1093
408,1701,780,1033,931
409,1850,942,1078,938
410,1764,832,1071,884
411,1863,838,1029,948
412,1764,987,1145,1078
413,1811,958,1132,1034
414,1795,962,1035,969
415,1583,545,872,747
416,1768,777,1003,878
417,1886,819,1077,872
418,1681,885,1110,1054
419,1698,791,1031,914
420,1708,868,1117,1012
421,1642,854,1153,1059
422,1789,1008,1097,1046
423,1664,807,1078,1042
424,1880,1021,1142,1047
425,1740,922,1143,1030
426,1710,656,946,835
427,1738,864,1046,975
428,1777,812,1027,911
429,1613,709,1006,945
